28-13 330 Pts,HP,,SnD,,CTR,,Total,,330,Pts,,,,Game Results,,,,,,,,Match Results,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FaZe,W,L,W,L,W,L,W,L ,,Stage,Event,Game,Mode,Map ,Score,Opponent,Score,Winner,,Stage,Event,FaZe Game Wins,Opponent,Opponent Game Wins,Winner,,Hardpoint,,,,,,,,,P1,,,,,,P2,,,,,,P3,,,,,,P4,,,,,,P5,,,,,,,,,,,,,,,
,0,0,0,0,0,0,0,0,,1,Major,2,SnD,Berlin,6,OpTic,3,FaZe,,3,Wk 3,3,Guerrillas,1,FaZe,,Gavutu,8,7,53.33%,2.33,2.20,0.13,68,35,33,51.47%,624,9.18,34,8,26,23.53%,22,7,31.82%,5,5,100.00%,4,50.00%,4,50.00%,277,8.15,101,2.97,34,27,7,79.41%,9,26,25,92.59%,2,7.41%,347,10.21,105,3.09,,,,
,0,0,0,0,0,0,0,0,,1,Major,3,Control,Tuscan,2,OpTic,3,OpTic,,3,Major,3,Ultra,1,FaZe,,Tuscan,16,7,69.57%,2.48,1.70,0.78,96,57,39,59.38%,736,7.67,46,14,32,30.43%,44,12,27.27%,11,11,100.00%,9,64.29%,5,35.71%,296,6.43,197,4.28,50,43,7,86.00%,1,39,36,83.72%,7,16.28%,440,8.80,194,3.88,,,,
,0,0,0,0,0,0,0,0,,1,Major,4,Hardpoint,Gavutu,186,OpTic,250,OpTic,,3,Major,3,Thieves,0,FaZe,,Berlin,3,3,50.00%,2.17,2.17,0.00,26,13,13,50.00%,187,7.19,13,6,7,46.15%,13,6,46.15%,4,4,100.00%,4,66.67%,2,33.33%,86,6.62,57,4.38,13,7,6,53.85%,0,6,6,85.71%,1,14.29%,101,7.77,62,4.77,,,,
,0,0,0,0,0,0,0,0,,1,Major,5,SnD,Tuscan,0,OpTic,6,OpTic,,3,Major,2,Surge,3,Surge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total W/L,5,6,5,3,4,2,14,11,,1,Major,1,Hardpoint,Tuscan,201,Thieves,250,Thieves,,3,Major,3,Ultra,2,FaZe,,Overall,27,17,61.36%,2.39,1.93,0.45,190,105,85,55.26%,1547,24.04,93,28,65,30.11%,70,23,32.86%,29,22,75.86%,17,60.71%,11,39.29%,659,7.09,355,3.82,97,77,20,79.38%,16,65,67,87.01%,10,12.99%,888,9.15,361,3.72,,,,
Win%,45.45%,,62.50%,,66.67%,,56.00%,,,1,Major,2,SnD,Tuscan,5,Thieves,6,Thieves,,3,Major,3,Surge,5,Surge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PF,2356,,42,,14,,,,,1,Major,3,Control,Tuscan,3,Thieves,1,FaZe,,4,Wk 1,3,Thieves,2,FaZe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,2335,,24,,9,,,,,1,Major,4,Hardpoint,Gavutu,250,Thieves,169,FaZe,,4,Wk 2,3,Ultra,0,FaZe,,,,STAGE 1,,,,,,,,,STAGE 2,,,,,,,,,STAGE 3,,,,,,,,,STAGE 4,,,,,,,,,Champs,,,,,,,,,,
PPG,214.18,,5.25,,2.33,,,,,1,Major,5,SnD,Berlin,6,Thieves,2,FaZe,,4,Wk 2,1,Guerrillas,3,Guerrillas,,,,HP,,SnD,,CTR,,,,,HP,,SnD,,CTR,,,,,HP,,SnD,,CTR,,,,,HP,,SnD,,CTR,,,,,HP,,SnD,,CTR,,,,,,
PPGA,212.27,,3.00,,1.50,,,,,1,Major,1,Hardpoint,Bocage,250,Ultra,144,FaZe,,4,Wk 3,1,Royal Ravens,3,Royal Ravens,,9-2,,W,L,W,L,W,L,,6-3,,W,L,W,L,W,L,,6-4,,W,L,W,L,W,L,,7-4,,W,L,W,L,W,L,,0-0,,W,L,W,L,W,L,,,,,
