,Stats DO NOT include the Kickoff Classic or Pro-Am,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OVERALL,,,,,,,ROUNDS,,,,,,,,OFFENSE,,,,,,,,,,,,,,,,,DEFENSE,,,,,,,,,,,,,,,,
Team,W,L,Win%,PPG,PPGA,Avg Diff,Total,W,L,W%,FB,FB %,FB W,FB W%,Rds,W,L,W%,FB,FB%,FB W,FB W%,Plants,PW,PW%,AP,APW,APW%,BP,BPW,BPW%,Rds,W,L,W%,FB,FB%,FB W,FB W%,Plants,Retakes,RW%,AP,ARW,ARW%,BP,BRW,BRW%
Legion,1,5,16.67%,3.50,5.83,-2.33,56,21,35,37.50%,24,42.86%,13,54.17%,27,8,19,29.63%,9,33.33%,6,66.67%,13,6,46.15%,9,6,66.67%,4,0,0.00%,29,13,16,44.83%,15,51.72%,7,46.67%,24,10,41.67%,13,5,38.46%,11,5,45.45%
Matches Played,54,,,,Totals,,Rounds,,481,,FBW,353,FBW%,73.39%,481,199,282,41.37%,218,45.32%,145,66.51%,290,171,58.97%,156,100,64.10%,134,71,52.99%,481,282,199,58.63%,262,54.47%,208,79.39%,290,120,41.38%,156,56,35.90%,134,64,47.76%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TUSCAN,,,,,,,ROUNDS,,,,,,,,OFFENSE,,,,,,,,,,,,,,,,,DEFENSE,,,,,,,,,,,,,,,,
Team,W,L,Win%,PPG,PPGA,Avg Diff,Total,W,L,W%,FB,FB %,FB W,FB W%,Rds,W,L,W%,FB,FB%,FB W,FB W%,Plants,PW,PW%,AP,APW,APW%,BP,BPW,BPW%,Rds,W,L,W%,FB,FB%,FB W,FB W%,Plants,Retakes,RW%,AP,ARW,ARW%,BP,BRW,BRW%
OpTic,10,3,76.92%,5.23,3.92,1.31,119,68,51,57.14%,67,56.30%,55,82.09%,57,38,19,66.67%,31,54.39%,30,96.77%,29,22,75.86%,15,11,73.33%,14,11,78.57%,62,30,32,48.39%,36,58.06%,25,69.44%,32,9,28.13%,22,6,27.27%,10,3,30.00%
Ultra,9,6,60.00%,4.73,4.33,0.40,136,71,65,52.21%,75,55.15%,57,76.00%,66,36,30,54.55%,35,53.03%,26,74.29%,38,25,65.79%,28,20,71.43%,10,5,50.00%,70,35,35,50.00%,40,57.14%,31,77.50%,41,15,36.59%,30,12,40.00%,11,3,27.27%
Guerrillas,5,4,55.56%,5.22,4.11,1.11,84,47,37,55.95%,48,57.14%,37,77.08%,44,23,21,52.27%,26,59.09%,20,76.92%,18,10,55.56%,9,5,55.56%,9,5,55.56%,40,24,16,60.00%,22,55.00%,17,77.27%,19,7,36.84%,12,4,33.33%,7,3,42.86%
Legion,6,5,54.55%,4.36,4.91,-0.55,102,48,54,47.06%,43,42.16%,30,69.77%,50,22,28,44.00%,17,34.00%,13,76.47%,25,16,64.00%,14,9,64.29%,11,7,63.64%,52,26,26,50.00%,26,50.00%,17,65.38%,21,6,28.57%,17,4,23.53%,4,2,50.00%
Thieves,7,6,53.85%,4.77,4.54,0.23,121,62,59,51.24%,62,51.24%,44,70.97%,61,31,30,50.82%,28,45.90%,22,78.57%,33,23,69.70%,25,16,64.00%,8,7,87.50%,60,31,29,51.67%,34,56.67%,22,64.71%,35,15,42.86%,24,9,37.50%,11,6,54.55%
