24-12 265 Pts,HP,,SnD,,CTR,,Total,,,,,,,Game Results,,,,,,,,Match Results,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OpTic,W,L,W,L,W,L,W,L ,,Stage,Event,Game,Mode,Map ,Score,Opponent,Score,Winner,,Stage,Event,OpTic Game Wins,Opponent,Opponent Game Wins,Winner,,Hardpoint,,,,,,,,,P1,,,,,,P2,,,,,,P3,,,,,,P4,,,,,,P5,,,,,,,,,,,,,,,
,0,0,0,0,0,0,0,0,,1,Major,5,SnD,Tuscan,6,FaZe,0,OpTic,,4,Wk 1,2,Breach,3,Breach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total W/L,4,3,3,3,3,1,10,7,,1,Major,1,Hardpoint,Berlin,178,Royal Ravens,250,Royal Ravens,,4,Wk 1,1,Rokkr,3,Rokkr,,Overall,26,11,70.27%,2.38,1.65,0.73,149,88,61,59.06%,1242,26.93,73,26,47,35.62%,54,24,44.44%,27,18,66.67%,16,61.54%,10,38.46%,512,7.01,289,3.96,76,62,14,81.58%,19,53,54,87.10%,8,12.90%,730,9.61,272,3.58,,,,
Win%,57.14%,,50.00%,,75.00%,,58.82%,,,1,Major,2,SnD,Berlin,6,Royal Ravens,0,OpTic,,4,Wk 2,3,Legion,1,OpTic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PF,1610,,28,,9,,,,,1,Major,3,Control,Gavutu,3,Royal Ravens,0,OpTic,,4,Wk 2,1,Subliners,3,Subliners,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,1282,,31,,3,,,,,1,Major,4,Hardpoint,Tuscan,250,Royal Ravens,171,OpTic,,4,Wk 3,2,Ultra,3,Ultra,,,,STAGE 1,,,,,,,,,STAGE 2,,,,,,,,,STAGE 3,,,,,,,,,STAGE 4,,,,,,,,,Champs,,,,,,,,,,
PPG,230.00,,4.67,,2.25,,,,,1,Major,1,Hardpoint,Gavutu,250,FaZe,130,OpTic,,4,Major,3,Rokkr,2,OpTic,,,,HP,,SnD,,CTR,,,,,HP,,SnD,,CTR,,,,,HP,,SnD,,CTR,,,,,HP,,SnD,,CTR,,,,,HP,,SnD,,CTR,,,,,,
PPGA,183.14,,5.17,,0.75,,,,,1,Major,2,SnD,Desert Siege,5,FaZe,6,FaZe,,4,Major,3,Breach,1,OpTic,,7-2,,W,L,W,L,W,L,,7-2,,W,L,W,L,W,L,,6-3,,W,L,W,L,W,L,,4-5,,W,L,W,L,W,L,,0-0,,W,L,W,L,W,L,,,,,
Avg Diff,46.86,,-0.50,,1.50,,,,,1,Major,3,Control,Gavutu,3,FaZe,2,OpTic,,4,Major,3,Ultra,2,OpTic,,Berlin,,0,3,5,2,0,0,,Berlin,,2,2,1,1,0,0,,Berlin,,3,2,4,3,5,1,,Berlin,,1,2,1,2,0,2,,Berlin,,0,0,0,0,0,0,,,,,
,,,,,,,,,,1,Major,4,Hardpoint,Tuscan,250,FaZe,212,OpTic,,4,Major,1,FaZe,3,FaZe,,Bocage,,4,1,0,1,0,0,,Bocage,,1,2,1,1,0,0,,Bocage,,2,0,1,1,0,0,,Bocage,,3,6,5,2,0,0,,Bocage,,0,0,0,0,0,0,,,,,
2-1,HP,,SnD,,CTR,,Total,,,1,Major,5,SnD,Tuscan,3,FaZe,6,FaZe,,,Champs,,Ultra,,,,Desert Siege,,0,0,0,1,0,0,,Desert Siege,,0,0,1,2,0,0,,Desert Siege,,0,0,0,0,0,0,,Desert Siege,,0,0,0,0,0,0,,Desert Siege,,0,0,0,0,0,0,,,,,
