,Stats DO NOT include the Kickoff Classic or Pro-Am,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OVERALL,,,,,,,Rounds,,,,,,Offense,,,,,,,,,,,,,,,,,,Defense,,,,,,,,,,,,,
Team,W,L,Win%,PPG,PPGA,Avg Diff,Totals,W,L,W%,Lives Left,Avg LL,Rounds,W,L,W%,A Cap,A Cap W,A Cap W%,B Cap,B Cap W,B Cap W%,Cap W,Cap W%,Wipe W,Wipe W%,Lives Left,Avg LL,Ticks,Avg Ticks,Rounds,W,L,W%,A Def,B Def,Time W,Time W%,Wipe Wins,Wipe W%,Lives Left,Avg LL,Ticks Allow,Avg TA
Surge,1,6,14.29%,2.00,2.86,-0.86,34,14,20,41.18%,315,9.26,16,2,14,12.50%,9,2,22.22%,1,1,100.00%,1,50.00%,1,50.00%,133,8.31,42,2.63,18,12,6,66.67%,9,12,12,100.00%,0,0.00%,182,10.11,43,2.39
Matches Played,65,,,,,,Total Rds,290,Total LL,5234,Avg LL,18.05,290,59,231,20.34%,174,56,32.18%,36,33,91.67%,30,50.85%,29,49.15%,2401,8.28,842,2.90,290,231,59,79.66%,109,227,214,92.64%,17,7.36%,2833,9.77,842,2.90
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TUSCAN,,,,,,,Rounds,,,,,,Offense,,,,,,,,,,,,,,,,,,Defense,,,,,,,,,,,,,
Team,W,L,Win%,PPG,PPGA,Avg Diff,Totals,W,L,W%,Lives Left,Avg LL,Rounds,W,L,W%,A Cap,A Cap W,A Cap W%,B Cap,B Cap W,B Cap W%,Cap W,Cap W%,Wipe W,Wipe W%,Lives Left,Avg LL,Ticks,Avg Ticks,Rounds,W,L,W%,A Def,B Def,Time W,Time W%,Wipe Wins,Wipe W%,Lives Left,Avg LL,Ticks Allow,Avg TA
Surge,12,4,75.00%,2.56,1.69,0.88,68,41,27,60.29%,428,6.29,35,15,20,42.86%,34,15,44.12%,6,6,100.00%,6,40.00%,9,60.00%,179,5.11,141,4.03,33,26,7,78.79%,0,26,23,88.46%,3,11.54%,249,7.55,121,3.67
FaZe,16,7,69.57%,2.48,1.70,0.78,96,57,39,59.38%,736,7.67,46,14,32,30.43%,44,12,27.27%,11,11,100.00%,9,64.29%,5,35.71%,296,6.43,197,4.28,50,43,7,86.00%,1,39,36,83.72%,7,16.28%,440,8.80,194,3.88
OpTic,15,7,68.18%,2.41,1.77,0.64,92,53,39,57.61%,690,7.50,46,14,32,30.43%,40,14,35.00%,6,6,100.00%,6,42.86%,8,57.14%,277,6.02,166,3.61,46,39,7,84.78%,3,39,33,84.62%,6,15.38%,413,8.98,169,3.67
Breach,8,8,50.00%,2.06,2.00,0.06,65,33,32,50.77%,407,6.26,32,9,23,28.13%,30,9,30.00%,4,4,100.00%,4,44.44%,5,55.56%,187,5.84,135,4.22,33,24,9,72.73%,2,25,17,70.83%,7,29.17%,220,6.67,130,3.94
Subliners,5,5,50.00%,2.30,2.40,-0.10,47,23,24,48.94%,236,5.02,21,3,18,14.29%,19,3,15.79%,1,1,100.00%,1,33.33%,2,66.67%,62,2.95,77,3.67,26,20,6,76.92%,3,20,12,60.00%,8,40.00%,174,6.69,88,3.38
Rokkr,8,9,47.06%,2.18,2.35,-0.18,75,37,40,49.33%,537,7.16,38,9,29,23.68%,37,8,21.62%,6,6,100.00%,5,55.56%,4,44.44%,235,6.18,143,3.76,37,28,11,75.68%,1,28,24,85.71%,4,14.29%,302,8.16,144,3.89
Mutineers,9,11,45.00%,2.00,2.30,-0.30,86,40,46,46.51%,504,5.86,45,9,36,20.00%,43,9,20.93%,6,6,100.00%,6,66.67%,3,33.33%,199,4.42,164,3.64,41,31,10,75.61%,3,32,26,83.87%,5,16.13%,305,7.44,157,3.83
Ultra,8,10,44.44%,2.22,2.17,0.06,79,40,39,50.63%,381,4.82,41,11,30,26.83%,37,11,29.73%,7,6,85.71%,6,54.55%,5,45.45%,115,2.80,156,3.80,38,29,9,76.32%,1,29,24,82.76%,5,17.24%,266,7.00,142,3.74
Thieves,4,8,33.33%,1.58,2.50,-0.92,49,19,30,38.78%,253,5.16,24,4,20,16.67%,23,4,17.39%,1,1,100.00%,1,25.00%,3,75.00%,105,4.38,89,3.71,25,15,10,60.00%,5,15,12,80.00%,3,20.00%,148,5.92,101,4.04
Guerrillas,4,9,30.77%,1.92,2.46,-0.54,57,25,32,43.86%,324,5.68,27,4,23,14.81%,25,4,16.00%,2,2,100.00%,2,50.00%,2,50.00%,83,3.07,101,3.74,30,21,9,70.00%,3,21,15,71.43%,6,28.57%,241,8.03,117,3.90
